epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, Si_f_mae, psavg_f_mae, Si_f_rmse, psavg_f_rmse, e_mae, e/N_mae
   40,    13,       0.00061653,       0.00061589,       6.3228e-07,          0.01776,         0.022492,          0.01776,          0.01776,         0.022492,         0.022492,          0.04499,       0.00070296
   40,    14,       0.00055314,       0.00055246,        6.764e-07,         0.016457,         0.021302,         0.016457,         0.016457,         0.021302,         0.021302,         0.044566,       0.00069635
   40,    15,       0.00040931,       0.00040776,       1.5523e-06,         0.012542,         0.018301,         0.012542,         0.012542,         0.018301,         0.018301,         0.068247,        0.0010664
   40,    16,       0.00062904,       0.00062044,       8.6007e-06,         0.016902,         0.022575,         0.016902,         0.016902,         0.022575,         0.022575,           0.1698,        0.0026532
   41,     1,       0.00060023,       0.00059357,       6.6626e-06,         0.017082,          0.02208,         0.017082,         0.017082,          0.02208,          0.02208,          0.14943,        0.0023348
   41,     2,       0.00048463,       0.00048446,       1.6139e-07,         0.015492,         0.019948,         0.015492,         0.015492,         0.019948,         0.019948,         0.022542,       0.00035222
   41,     3,       0.00046368,       0.00045079,       1.2897e-05,         0.015179,         0.019242,         0.015179,         0.015179,         0.019242,         0.019242,          0.20803,        0.0032505
   41,     4,       0.00067454,        0.0006545,       2.0035e-05,         0.017666,         0.023186,         0.017666,         0.017666,         0.023186,         0.023186,          0.25878,        0.0040434
   41,     5,       0.00051219,        0.0005064,        5.786e-06,         0.015809,         0.020395,         0.015809,         0.015809,         0.020395,         0.020395,          0.13843,         0.002163
   41,     6,       0.00043271,       0.00043142,       1.2946e-06,         0.013205,         0.018824,         0.013205,         0.013205,         0.018824,         0.018824,         0.065254,        0.0010196
   41,     7,       0.00071705,       0.00070547,       1.1582e-05,         0.018635,         0.024072,         0.018635,         0.018635,         0.024072,         0.024072,          0.19643,        0.0030692
   41,     8,       0.00086658,       0.00086058,       5.9987e-06,         0.019361,         0.026587,         0.019361,         0.019361,         0.026587,         0.026587,          0.14048,        0.0021949
   41,     9,       0.00060614,        0.0006061,       4.2497e-08,         0.017552,         0.022312,         0.017552,         0.017552,         0.022312,         0.022312,         0.011516,       0.00017993
   41,    10,       0.00047032,       0.00046798,       2.3361e-06,         0.015547,         0.019606,         0.015547,         0.015547,         0.019606,         0.019606,         0.087581,        0.0013684
   41,    11,       0.00051717,       0.00051564,       1.5321e-06,         0.016168,          0.02058,         0.016168,         0.016168,          0.02058,          0.02058,          0.07075,        0.0011055
   41,    12,       0.00043042,        0.0004302,       2.2351e-07,         0.014378,         0.018798,         0.014378,         0.014378,         0.018798,         0.018798,         0.026984,       0.00042163
   41,    13,       0.00077141,        0.0007696,       1.8087e-06,         0.019221,         0.025142,         0.019221,         0.019221,         0.025142,         0.025142,         0.074781,        0.0011685
   41,    14,       0.00076769,       0.00076731,       3.7593e-07,         0.018707,         0.025105,         0.018707,         0.018707,         0.025105,         0.025105,         0.033075,        0.0005168
   41,    15,       0.00057077,       0.00056963,       1.1422e-06,         0.016997,          0.02163,         0.016997,         0.016997,          0.02163,          0.02163,         0.060789,       0.00094983
   41,    16,        0.0005521,       0.00054976,       2.3353e-06,         0.016535,          0.02125,         0.016535,         0.016535,          0.02125,          0.02125,         0.088395,        0.0013812
   42,     1,        0.0004574,       0.00045723,       1.7439e-07,         0.015391,         0.019379,         0.015391,         0.015391,         0.019379,         0.019379,         0.021488,       0.00033575
   42,     2,       0.00049371,       0.00049283,       8.7751e-07,         0.015625,          0.02012,         0.015625,         0.015625,          0.02012,          0.02012,         0.053039,       0.00082874
   42,     3,       0.00048952,       0.00048683,       2.6849e-06,         0.015607,         0.019997,         0.015607,         0.015607,         0.019997,         0.019997,          0.09416,        0.0014713
   42,     4,       0.00048175,       0.00048096,       7.9457e-07,         0.015384,         0.019876,         0.015384,         0.015384,         0.019876,         0.019876,          0.04999,       0.00078109
   42,     5,       0.00049905,       0.00049864,       4.0637e-07,         0.013984,         0.020238,         0.013984,         0.013984,         0.020238,         0.020238,         0.024571,       0.00038393
   42,     6,       0.00048962,       0.00048718,       2.4392e-06,         0.015502,         0.020004,         0.015502,         0.015502,         0.020004,         0.020004,         0.089387,        0.0013967
   42,     7,       0.00046266,       0.00046107,       1.5894e-06,          0.01508,         0.019461,          0.01508,          0.01508,         0.019461,         0.019461,         0.072462,        0.0011322
   42,     8,       0.00074555,        0.0007446,       9.5227e-07,          0.01889,          0.02473,          0.01889,          0.01889,          0.02473,          0.02473,         0.053798,       0.00084059
   42,     9,       0.00067691,       0.00067659,       3.1233e-07,           0.0184,         0.023574,           0.0184,           0.0184,         0.023574,         0.023574,         0.028676,       0.00044806
   42,    10,       0.00058545,       0.00058457,       8.7714e-07,          0.01704,         0.021912,          0.01704,          0.01704,         0.021912,         0.021912,         0.052485,       0.00082007
   42,    11,       0.00063006,       0.00062982,       2.3467e-07,          0.01764,         0.022745,          0.01764,          0.01764,         0.022745,         0.022745,         0.022268,       0.00034794
   42,    12,       0.00048601,       0.00048264,       3.3782e-06,         0.015376,          0.01991,         0.015376,         0.015376,          0.01991,          0.01991,          0.10591,        0.0016549
   42,    13,       0.00048662,       0.00047921,       7.4103e-06,         0.015665,          0.01984,         0.015665,         0.015665,          0.01984,          0.01984,          0.15749,        0.0024607
   42,    14,       0.00056397,       0.00055993,       4.0439e-06,         0.016727,         0.021446,         0.016727,         0.016727,         0.021446,         0.021446,          0.11535,        0.0018024
   42,    15,       0.00046909,       0.00046903,       5.8911e-08,         0.014748,         0.019628,         0.014748,         0.014748,         0.019628,         0.019628,         0.013224,       0.00020663
   42,    16,       0.00085749,       0.00085489,       2.6059e-06,         0.018483,         0.026499,         0.018483,         0.018483,         0.026499,         0.026499,         0.089786,        0.0014029
   43,     1,       0.00075486,       0.00074678,       8.0853e-06,         0.019083,         0.024767,         0.019083,         0.019083,         0.024767,         0.024767,          0.16304,        0.0025476
   43,     2,       0.00055479,       0.00054371,       1.1083e-05,         0.016674,         0.021133,         0.016674,         0.016674,         0.021133,         0.021133,          0.19258,         0.003009
   43,     3,       0.00069686,        0.0006902,       6.6596e-06,         0.018605,          0.02381,         0.018605,         0.018605,          0.02381,          0.02381,          0.14857,        0.0023214
   43,     4,       0.00059206,       0.00059137,       6.8745e-07,         0.017233,          0.02204,         0.017233,         0.017233,          0.02204,          0.02204,         0.040869,       0.00063857
   43,     5,       0.00052351,       0.00051705,       6.4633e-06,         0.016094,         0.020608,         0.016094,         0.016094,         0.020608,         0.020608,          0.14717,        0.0022995
   43,     6,        0.0005323,       0.00050644,       2.5853e-05,           0.0158,         0.020396,           0.0158,           0.0158,         0.020396,         0.020396,          0.29417,        0.0045964
   43,     7,       0.00061302,       0.00058775,       2.5274e-05,         0.014707,         0.021972,         0.014707,         0.014707,         0.021972,         0.021972,          0.29081,        0.0045439
   43,     8,       0.00052316,       0.00051938,       3.7774e-06,         0.015787,         0.020654,         0.015787,         0.015787,         0.020654,         0.020654,          0.11246,        0.0017571
   43,     9,       0.00059796,       0.00059136,       6.6035e-06,         0.016881,         0.022039,         0.016881,         0.016881,         0.022039,         0.022039,          0.14851,        0.0023205
   43,    10,       0.00087095,       0.00083813,       3.2824e-05,         0.019452,         0.026238,         0.019452,         0.019452,         0.026238,         0.026238,          0.33207,        0.0051887
   43,    11,       0.00059611,       0.00056344,       3.2673e-05,         0.016709,         0.021513,         0.016709,         0.016709,         0.021513,         0.021513,          0.33056,        0.0051651
   43,    12,       0.00054673,       0.00054063,       6.1057e-06,         0.016925,         0.021073,         0.016925,         0.016925,         0.021073,         0.021073,          0.14303,        0.0022349
   43,    13,       0.00046663,       0.00046299,       3.6405e-06,          0.01497,         0.019501,          0.01497,          0.01497,         0.019501,         0.019501,          0.10928,        0.0017076
   43,    14,       0.00051578,       0.00049505,       2.0732e-05,         0.015599,         0.020165,         0.015599,         0.015599,         0.020165,         0.020165,           0.2638,        0.0041219
   43,    15,       0.00075138,       0.00072743,       2.3948e-05,         0.018015,         0.024444,         0.018015,         0.018015,         0.024444,         0.024444,          0.28125,        0.0043946
   43,    16,       0.00043718,       0.00043381,       3.3656e-06,         0.014793,         0.018876,         0.014793,         0.014793,         0.018876,         0.018876,          0.10619,        0.0016592
