epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_Si_f_mae,training_psavg_f_mae,training_Si_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_Si_f_mae,validation_psavg_f_mae,validation_Si_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        21,  101.546,    0.005,        0.0014567,       5.6034e-06,        0.0014623,       0.0268,       0.0346,       0.0268,       0.0268,       0.0346,       0.0346,        0.117,      0.00183,         0.001591,       2.6784e-07,        0.0015912,       0.0285,       0.0361,       0.0285,       0.0285,       0.0361,       0.0361,       0.0215,     0.000336
        22,  106.202,    0.005,        0.0012928,        3.638e-06,        0.0012964,       0.0252,       0.0326,       0.0252,       0.0252,       0.0326,       0.0326,        0.097,      0.00152,        0.0014256,       2.8913e-07,        0.0014258,       0.0269,       0.0342,       0.0269,       0.0269,       0.0342,       0.0342,       0.0236,     0.000369
        23,  110.855,    0.005,        0.0011786,       3.8085e-06,        0.0011824,       0.0238,       0.0311,       0.0238,       0.0238,       0.0311,       0.0311,       0.0928,      0.00145,        0.0012712,       2.1627e-07,        0.0012714,       0.0254,       0.0323,       0.0254,       0.0254,       0.0323,       0.0323,        0.021,     0.000328
        24,  115.518,    0.005,        0.0010416,       8.0886e-07,        0.0010424,       0.0224,       0.0292,       0.0224,       0.0224,       0.0292,       0.0292,       0.0417,     0.000652,        0.0011404,       1.9544e-07,        0.0011406,        0.024,       0.0306,        0.024,        0.024,       0.0306,       0.0306,       0.0201,     0.000313
        25,  120.168,    0.005,       0.00098698,       1.7346e-06,       0.00098872,       0.0218,       0.0285,       0.0218,       0.0218,       0.0285,       0.0285,       0.0648,      0.00101,        0.0010349,       1.8369e-07,        0.0010351,       0.0228,       0.0292,       0.0228,       0.0228,       0.0292,       0.0292,       0.0204,     0.000319
        26,  124.803,    0.005,       0.00098931,       3.3042e-06,       0.00099261,       0.0217,       0.0285,       0.0217,       0.0217,       0.0285,       0.0285,       0.0883,      0.00138,       0.00095517,        1.742e-07,       0.00095534,       0.0219,        0.028,       0.0219,       0.0219,        0.028,        0.028,        0.019,     0.000297
        27,  129.431,    0.005,       0.00091841,       1.5961e-06,          0.00092,        0.021,       0.0275,        0.021,        0.021,       0.0275,       0.0275,        0.064,        0.001,       0.00089307,       1.5958e-07,       0.00089323,       0.0211,       0.0271,       0.0211,       0.0211,       0.0271,       0.0271,       0.0188,     0.000294
        28,  134.099,    0.005,       0.00089948,       2.2996e-06,       0.00090178,       0.0208,       0.0272,       0.0208,       0.0208,       0.0272,       0.0272,       0.0684,      0.00107,       0.00084521,       1.5532e-07,       0.00084536,       0.0206,       0.0263,       0.0206,       0.0206,       0.0263,       0.0263,       0.0183,     0.000285
        29,  138.732,    0.005,       0.00085145,       3.6622e-06,       0.00085511,       0.0202,       0.0264,       0.0202,       0.0202,       0.0264,       0.0264,       0.0975,      0.00152,       0.00080201,        1.457e-07,       0.00080216,         0.02,       0.0257,         0.02,         0.02,       0.0257,       0.0257,       0.0182,     0.000284
        30,  143.396,    0.005,       0.00080579,        1.021e-06,       0.00080681,       0.0196,       0.0257,       0.0196,       0.0196,       0.0257,       0.0257,       0.0475,     0.000742,       0.00076656,       1.3084e-07,       0.00076669,       0.0196,       0.0251,       0.0196,       0.0196,       0.0251,       0.0251,       0.0176,     0.000275
        31,  148.030,    0.005,       0.00080314,        2.992e-06,       0.00080613,       0.0196,       0.0257,       0.0196,       0.0196,       0.0257,       0.0257,       0.0849,      0.00133,       0.00073475,       1.2596e-07,       0.00073488,       0.0191,       0.0246,       0.0191,       0.0191,       0.0246,       0.0246,       0.0176,     0.000275
        32,  152.635,    0.005,        0.0007816,         1.44e-06,       0.00078304,       0.0193,       0.0253,       0.0193,       0.0193,       0.0253,       0.0253,       0.0621,     0.000971,       0.00070535,       1.2106e-07,       0.00070547,       0.0188,       0.0241,       0.0188,       0.0188,       0.0241,       0.0241,       0.0174,     0.000272
        33,  157.259,    0.005,       0.00073705,       5.9456e-06,         0.000743,       0.0188,       0.0246,       0.0188,       0.0188,       0.0246,       0.0246,        0.122,       0.0019,        0.0006778,       1.3125e-07,       0.00067793,       0.0184,       0.0236,       0.0184,       0.0184,       0.0236,       0.0236,       0.0178,     0.000277
        34,  161.896,    0.005,       0.00070489,       4.8934e-06,       0.00070978,       0.0184,       0.0241,       0.0184,       0.0184,       0.0241,       0.0241,         0.11,      0.00172,       0.00065327,       1.1068e-07,       0.00065338,        0.018,       0.0232,        0.018,        0.018,       0.0232,       0.0232,       0.0167,     0.000261
